report_date,search_vertical,frequency_tier,tier_definition,control_searches,treatment_searches,control_unique_queries,treatment_unique_queries,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-01,ALL,Head,Top 50% of combined volume,99265,97816,221,221,0.6337,0.6264,0.1678,0.1656,-1.15,-1.31,Yes,No,0.68,0.71,3.0E-4,1.0E-4,-66.67,49.6
2026-06-01,ALL,Torso,Next 30% of combined volume (50-80%),59559,58945,4555,4580,0.6126,0.6118,0.1402,0.1452,-0.13,3.57,No,Yes,0.44,0.53,0.0027,0.0,-100.0,49.7
2026-06-01,ALL,Tail,Bottom 20% of combined volume (80-100%),39242,39630,28267,28694,0.5662,0.5773,0.1178,0.1254,1.96,6.45,Yes,Yes,0.23,0.38,0.0187,0.0012,-93.58,50.2
2026-06-01,BAEMIN_DELIVERY,Head,Top 50% of combined volume,64436,63814,189,189,0.6666,0.6707,0.1783,0.1812,0.62,1.63,No,No,2.74,2.64,0.0023,7.0E-4,-69.57,49.8
2026-06-01,BAEMIN_DELIVERY,Torso,Next 30% of combined volume (50-80%),38956,38249,2422,2431,0.6461,0.6611,0.1439,0.147,2.32,2.15,Yes,No,2.1,2.06,0.0087,7.0E-4,-91.95,49.5
2026-06-01,BAEMIN_DELIVERY,Tail,Bottom 20% of combined volume (80-100%),23961,27401,16774,19355,0.5769,0.5596,0.1165,0.1089,-3.0,-6.52,Yes,Yes,1.19,1.29,0.0467,0.0057,-87.79,53.3
