report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-01,ALL,이삭토스트,4448,4353,0.779,0.7609,0.1079,0.1105,-2.32,2.41,Yes,No,0.18,0.3,0.0,0.0,,49.5
2026-06-01,ALL,마라탕,2650,2759,0.5332,0.5179,0.2079,0.2091,-2.87,0.58,No,No,1.04,1.01,0.0,0.0,,51.0
2026-06-01,BAEMIN_DELIVERY,이삭토스트,2622,2655,0.6751,0.6482,0.0854,0.0942,-3.98,10.3,Yes,No,0.26,0.28,8.0E-4,0.0015,87.5,50.3
2026-06-01,ALL,맘스터치,2168,2181,0.7601,0.7584,0.1711,0.1596,-0.22,-6.72,No,No,0.47,0.51,0.0,0.0,,50.1
2026-06-01,ALL,엽기떡볶이,2082,2099,0.7997,0.778,0.2387,0.2239,-2.71,-6.2,No,No,0.25,0.32,0.0,0.0,,50.2
2026-06-01,ALL,냉면,1784,1704,0.5123,0.4795,0.1704,0.1784,-6.4,4.69,No,No,1.05,1.02,0.0,0.0,,48.9
2026-06-01,BAEMIN_DELIVERY,마라탕,1700,1763,0.6371,0.6228,0.2435,0.2286,-2.24,-6.12,No,No,2.97,2.74,0.0047,0.0011,-76.6,50.9
2026-06-01,BAEMIN_DELIVERY,냉면,1751,1651,0.6299,0.6445,0.1987,0.2277,2.32,14.59,No,Yes,4.89,4.3,0.0011,0.0,-100.0,48.5
2026-06-01,ALL,김밥,1522,1484,0.4389,0.4198,0.1399,0.1294,-4.35,-7.51,No,No,1.27,1.23,0.0,0.0,,49.4
2026-06-01,ALL,서브웨이,1465,1527,0.8055,0.8186,0.2505,0.2318,1.63,-7.47,No,No,0.3,0.3,0.0,0.0,,51.0
