report_date,search_vertical,control_searches,treatment_searches,control_sessions,treatment_sessions,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_statistically_significant,cvr_statistically_significant,control_avg_click_rank,treatment_avg_click_rank,avg_click_rank_diff,control_zrr,treatment_zrr,zrr_pct_change,control_searches_per_session,treatment_searches_per_session,searches_per_session_pct_change,treatment_traffic_pct
2026-05-28,ALL,16877,16375,9901,9985,0.5864,0.5919,0.133,0.1374,0.94,3.31,No,No,0.48,0.55,0.07,0.0034,9.0E-4,-73.53,1.7,1.64,-3.53,49.2
2026-05-28,BAEMIN_DELIVERY,10503,10294,5040,5090,0.6552,0.6707,0.1485,0.1551,2.37,4.44,Yes,No,2.43,2.56,0.13,0.0104,0.002,-80.77,2.08,2.02,-2.88,49.5
