report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-05-31,ALL,BBQ,1983,1940,0.123,0.1284,0.0242,0.0227,4.39,-6.2,No,No,0.69,0.7,0.0,0.0,,49.5
2026-05-31,ALL,냉면,979,853,0.4801,0.5029,0.1573,0.1993,4.75,26.7,No,Yes,1.01,1.14,0.0,0.0,,46.6
2026-05-31,BAEMIN_DELIVERY,냉면,938,849,0.6503,0.6325,0.1791,0.2144,-2.74,19.71,No,No,4.33,4.74,0.0,0.0,,47.5
2026-05-31,ALL,노랑통닭,749,753,0.741,0.7105,0.1802,0.1687,-4.12,-6.38,No,No,0.46,0.45,0.0,0.0,,50.1
2026-05-31,ALL,마라탕,629,639,0.5723,0.5743,0.2242,0.2269,0.35,1.2,No,No,1.07,1.07,0.0,0.0,,50.4
2026-05-31,ALL,맘스터치,632,632,0.7658,0.7769,0.1725,0.2136,1.45,23.83,No,No,0.45,0.43,0.0,0.0,,50.0
2026-05-31,ALL,엽기떡볶이,602,623,0.7807,0.764,0.2591,0.2408,-2.14,-7.06,No,No,0.2,0.31,0.0,0.0,,50.9
2026-05-31,ALL,피자,610,529,0.4262,0.448,0.1525,0.1588,5.11,4.13,No,No,1.12,1.08,0.0,0.0,,46.4
2026-05-31,BAEMIN_DELIVERY,김밥,587,508,0.6286,0.6594,0.1346,0.1713,4.9,27.27,No,No,4.79,5.57,0.0034,0.0,-100.0,46.4
2026-05-31,ALL,김밥,575,499,0.3826,0.4269,0.0991,0.1343,11.58,35.52,No,No,1.16,1.44,0.0,0.0,,46.5
2026-05-31,ALL,설빙,463,551,0.7819,0.8113,0.2333,0.2432,3.76,4.24,No,No,0.23,0.28,0.0,0.0,,54.3
2026-05-31,BAEMIN_DELIVERY,피자,512,436,0.6152,0.6445,0.1875,0.2133,4.76,13.76,No,No,5.2,5.03,0.0,0.0,,46.0
2026-05-31,ALL,맥도날드,479,460,0.7871,0.7761,0.286,0.2913,-1.4,1.85,No,No,0.03,0.06,0.0,0.0,,49.0
2026-05-31,ALL,롯데리아,455,482,0.7912,0.8154,0.2879,0.2967,3.06,3.06,No,No,0.16,0.2,0.0,0.0,,51.4
2026-05-31,ALL,이삭토스트,453,452,0.7042,0.7478,0.1589,0.1881,6.19,18.38,No,No,0.21,0.24,0.0,0.0,,49.9
2026-05-31,ALL,메가커피,461,418,0.6985,0.7225,0.1974,0.1675,3.44,-15.15,No,No,0.65,0.74,0.0,0.0,,47.6
2026-05-31,BAEMIN_DELIVERY,마라탕,361,474,0.626,0.6203,0.2465,0.2152,-0.91,-12.7,No,No,3.21,2.74,0.0,0.0042,,56.8
2026-05-31,BAEMIN_DELIVERY,떡볶이,406,371,0.6379,0.566,0.1724,0.1456,-11.27,-15.55,Yes,No,6.34,7.64,0.0,0.0,,47.7
2026-05-31,ALL,족발,390,364,0.5462,0.5,0.1769,0.1731,-8.46,-2.15,No,No,0.95,0.87,0.0,0.0,,48.3
2026-05-31,ALL,빙수,385,365,0.5117,0.5726,0.1273,0.1507,11.9,18.38,No,No,0.96,0.91,0.0,0.0,,48.7
2026-05-31,ALL,떡볶이,368,339,0.3641,0.3953,0.0707,0.115,8.57,62.66,No,Yes,1.21,1.4,0.0,0.0,,47.9
2026-05-31,BAEMIN_DELIVERY,빙수,357,349,0.6555,0.7163,0.1541,0.1834,9.28,19.01,No,No,3.38,3.84,0.0028,0.0,-100.0,49.4
2026-05-31,ALL,치킨,347,356,0.3746,0.3371,0.1124,0.0674,-10.01,-40.04,No,Yes,1.31,1.56,0.0,0.0,,50.6
2026-05-31,ALL,초밥,363,337,0.4986,0.5341,0.124,0.1157,7.12,-6.69,No,No,1.01,0.97,0.0,0.0,,48.1
2026-05-31,ALL,서브웨이,337,346,0.8249,0.8035,0.2671,0.2948,-2.59,10.37,No,No,0.22,0.24,0.0,0.0,,50.7
2026-05-31,BAEMIN_DELIVERY,맘스터치,332,337,0.741,0.8012,0.2048,0.2374,8.12,15.92,No,No,0.6,0.66,0.012,0.0,-100.0,50.4
2026-05-31,ALL,굽네치킨,328,340,0.5152,0.4971,0.1372,0.1412,-3.51,2.92,No,No,0.66,0.54,0.0,0.0,,50.9
2026-05-31,BAEMIN_DELIVERY,초밥,359,293,0.7075,0.686,0.2033,0.198,-3.04,-2.61,No,No,2.17,2.25,0.0,0.0,,44.9
2026-05-31,ALL,교촌치킨,316,334,0.7532,0.7695,0.1804,0.1886,2.16,4.55,No,No,0.45,0.32,0.0,0.0,,51.4
2026-05-31,BAEMIN_DELIVERY,치킨,292,356,0.5719,0.5449,0.137,0.1601,-4.72,16.86,No,No,8.26,8.99,0.0,0.0,,54.9
2026-05-31,BAEMIN_DELIVERY,족발,308,331,0.6591,0.6435,0.2143,0.2145,-2.37,0.09,No,No,3.44,2.86,0.0,0.0,,51.8
2026-05-31,BAEMIN_DELIVERY,국밥,339,287,0.6578,0.7247,0.233,0.2369,10.17,1.67,No,No,3.62,3.43,0.0,0.0,,45.8
