report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,ALL,돈까스,1199,1168,0.4779,0.4478,0.1485,0.119,-6.3,-19.87,No,Yes,1.17,1.01,0.0,0.0,,49.3
2026-06-03,ALL,닭발,1233,1077,0.5045,0.5227,0.1403,0.1393,3.61,-0.71,No,No,1.01,0.99,0.0,0.0,,46.6
2026-06-03,BAEMIN_DELIVERY,국밥,1112,1168,0.6052,0.5985,0.2194,0.1952,-1.11,-11.03,No,No,3.57,4.27,0.0018,0.0,-100.0,51.2
2026-06-03,BAEMIN_DELIVERY,엽기떡볶이,1159,1108,0.7351,0.731,0.2252,0.2202,-0.56,-2.22,No,No,0.52,0.45,0.0086,0.0,-100.0,48.9
2026-06-03,ALL,청년다방,1161,1076,0.7502,0.7481,0.1387,0.1413,-0.28,1.87,No,No,0.11,0.35,0.0,0.0,,48.1
2026-06-03,ALL,버거킹,1124,1100,0.8123,0.8082,0.2607,0.2536,-0.5,-2.72,No,No,0.14,0.21,0.0,0.0,,49.5
2026-06-03,ALL,샌드위치,1085,1098,0.4488,0.4335,0.0922,0.0792,-3.41,-14.1,No,No,1.13,1.2,0.0,0.0,,50.3
2026-06-03,BAEMIN_DELIVERY,교촌치킨,1101,1058,0.7475,0.7618,0.2616,0.2798,1.91,6.96,No,No,0.71,0.83,0.0127,0.0028,-77.95,49.0
2026-06-03,BAEMIN_DELIVERY,샌드위치,1054,1097,0.6338,0.6645,0.129,0.1349,4.84,4.57,No,No,6.09,5.84,0.0,0.0,,51.0
2026-06-03,ALL,국밥,1046,1073,0.4857,0.4557,0.1721,0.151,-6.18,-12.26,No,No,1.04,0.93,0.0,0.0,,50.6
2026-06-03,ALL,두찜,1122,997,0.7879,0.7934,0.2086,0.2036,0.7,-2.4,No,No,0.45,0.52,0.0,0.001,,47.1
2026-06-03,BAEMIN_DELIVERY,닭발,1076,1041,0.6115,0.6263,0.1431,0.1575,2.42,10.06,No,No,4.34,4.1,0.0,0.001,,49.2
2026-06-03,ALL,엽떡,1098,1008,0.816,0.8165,0.245,0.2927,0.06,19.47,No,Yes,0.19,0.25,0.0,0.0,,47.9
