report_date,search_vertical,frequency_tier,tier_definition,control_searches,treatment_searches,control_unique_queries,treatment_unique_queries,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,ALL,Head,Top 50% of combined volume,134199,132100,209,210,0.6263,0.6227,0.1755,0.1728,-0.57,-1.54,No,No,0.68,0.72,2.0E-4,0.0,-100.0,49.6
2026-06-03,ALL,Torso,Next 30% of combined volume (50-80%),81294,78852,4387,4385,0.6145,0.6225,0.1468,0.1548,1.3,5.45,Yes,Yes,0.43,0.52,0.0019,0.0,-100.0,49.2
2026-06-03,ALL,Tail,Bottom 20% of combined volume (80-100%),53534,53014,35644,35590,0.5754,0.5902,0.1233,0.135,2.57,9.49,Yes,Yes,0.23,0.36,0.0189,0.0011,-94.18,49.8
2026-06-03,BAEMIN_DELIVERY,Head,Top 50% of combined volume,90380,88056,177,177,0.6687,0.6722,0.1828,0.187,0.52,2.3,No,Yes,2.74,2.68,0.0025,8.0E-4,-68.0,49.3
2026-06-03,BAEMIN_DELIVERY,Torso,Next 30% of combined volume (50-80%),54310,53219,2339,2344,0.6508,0.6691,0.1462,0.1544,2.81,5.61,Yes,Yes,2.27,2.19,0.0075,9.0E-4,-88.0,49.5
2026-06-03,BAEMIN_DELIVERY,Tail,Bottom 20% of combined volume (80-100%),33296,38212,21464,24901,0.5771,0.5663,0.1162,0.1133,-1.87,-2.5,Yes,No,1.1,1.2,0.0513,0.0054,-89.47,53.4
