report_date,search_vertical,frequency_tier,tier_definition,control_searches,treatment_searches,control_unique_queries,treatment_unique_queries,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-05-30,ALL,Head,Top 50% of combined volume,60259,60176,163,163,0.6032,0.596,0.1841,0.1828,-1.19,-0.71,Yes,No,0.65,0.69,1.0E-4,0.0,-100.0,50.0
2026-05-30,ALL,Torso,Next 30% of combined volume (50-80%),36220,36108,3153,3151,0.6207,0.6264,0.1667,0.1702,0.92,2.1,No,No,0.46,0.5,0.0019,6.0E-4,-68.42,49.9
2026-05-30,ALL,Tail,Bottom 20% of combined volume (80-100%),23736,24317,17934,18461,0.5651,0.5801,0.1458,0.1474,2.65,1.1,Yes,No,0.23,0.31,0.0191,0.006,-68.59,50.6
2026-05-30,BAEMIN_DELIVERY,Head,Top 50% of combined volume,36850,36569,168,168,0.6557,0.6643,0.1957,0.2001,1.31,2.25,Yes,No,2.68,2.74,0.003,0.0014,-53.33,49.8
2026-05-30,BAEMIN_DELIVERY,Torso,Next 30% of combined volume (50-80%),22092,22034,2015,1997,0.6487,0.6485,0.1629,0.1615,-0.03,-0.86,No,No,2.29,2.12,0.0076,0.0034,-55.26,49.9
2026-05-30,BAEMIN_DELIVERY,Tail,Bottom 20% of combined volume (80-100%),13762,15620,10474,11852,0.5666,0.5538,0.1296,0.1227,-2.26,-5.32,Yes,No,1.18,1.31,0.0512,0.0198,-61.33,53.2
