report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,BAEMIN_DELIVERY,햄버거,1310,1244,0.6634,0.6359,0.2214,0.2074,-4.15,-6.32,No,No,3.96,4.2,0.0015,0.0,-100.0,48.7
2026-06-03,BAEMIN_DELIVERY,돈까스,1256,1225,0.6003,0.6155,0.1473,0.1673,2.53,13.58,No,No,4.56,5.49,8.0E-4,0.0,-100.0,49.4
2026-06-03,ALL,피자에땅,1170,1235,0.353,0.2964,0.0162,0.0235,-16.03,45.06,Yes,No,0.16,0.31,0.0,0.0,,51.4
2026-06-03,ALL,파리바게트,1171,1231,0.7968,0.7522,0.1383,0.1284,-5.6,-7.16,Yes,No,0.35,0.43,0.0,0.0,,51.2
2026-06-03,ALL,명랑핫도그,1238,1138,0.7229,0.7434,0.1511,0.1503,2.84,-0.53,No,No,0.18,0.37,0.0,0.0,,47.9
2026-06-03,ALL,돈까스,1199,1168,0.4779,0.4478,0.1485,0.119,-6.3,-19.87,No,Yes,1.17,1.01,0.0,0.0,,49.3
2026-06-03,ALL,닭발,1232,1077,0.5041,0.5227,0.1404,0.1393,3.69,-0.78,No,No,1.02,0.99,0.0,0.0,,46.6
2026-06-03,BAEMIN_DELIVERY,국밥,1112,1168,0.6052,0.5985,0.2194,0.1952,-1.11,-11.03,No,No,3.57,4.27,0.0018,0.0,-100.0,51.2
2026-06-03,BAEMIN_DELIVERY,엽기떡볶이,1159,1108,0.7351,0.731,0.2252,0.2202,-0.56,-2.22,No,No,0.52,0.45,0.0086,0.0,-100.0,48.9
2026-06-03,ALL,청년다방,1162,1076,0.7504,0.7481,0.1377,0.1413,-0.31,2.61,No,No,0.11,0.35,0.0,0.0,,48.1
2026-06-03,ALL,버거킹,1126,1100,0.8126,0.8082,0.2611,0.2536,-0.54,-2.87,No,No,0.14,0.21,0.0,0.0,,49.4
2026-06-03,ALL,샌드위치,1084,1098,0.4483,0.4335,0.0923,0.0792,-3.3,-14.19,No,No,1.13,1.2,0.0,0.0,,50.3
2026-06-03,BAEMIN_DELIVERY,교촌치킨,1101,1058,0.7475,0.7618,0.2616,0.2798,1.91,6.96,No,No,0.71,0.83,0.0127,0.0028,-77.95,49.0
2026-06-03,BAEMIN_DELIVERY,샌드위치,1054,1097,0.6338,0.6645,0.129,0.1349,4.84,4.57,No,No,6.09,5.84,0.0,0.0,,51.0
2026-06-03,ALL,국밥,1048,1073,0.4866,0.4557,0.1727,0.151,-6.35,-12.57,No,No,1.04,0.93,0.0,0.0,,50.6
2026-06-03,ALL,두찜,1120,997,0.7875,0.7934,0.208,0.2036,0.75,-2.12,No,No,0.45,0.52,0.0,0.001,,47.1
2026-06-03,BAEMIN_DELIVERY,닭발,1076,1041,0.6115,0.6263,0.1431,0.1575,2.42,10.06,No,No,4.34,4.1,0.0,0.001,,49.2
2026-06-03,ALL,엽떡,1099,1008,0.8162,0.8165,0.2466,0.2927,0.04,18.69,No,Yes,0.19,0.25,0.0,0.0,,47.8
2026-06-03,ALL,본죽,1024,1078,0.7412,0.7375,0.3076,0.2857,-0.5,-7.12,No,No,0.48,0.46,0.0,0.0,,51.3
