report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-05-30,ALL,BBQ,5311,5455,0.1883,0.1696,0.0373,0.0367,-9.93,-1.61,Yes,No,0.77,0.71,0.0,0.0,,50.7
2026-05-30,ALL,마라탕,1681,1669,0.5985,0.5872,0.257,0.2672,-1.89,3.97,No,No,1.05,1.01,0.0,0.0,,49.8
2026-05-30,ALL,노랑통닭,1390,1607,0.7734,0.7343,0.2525,0.2433,-5.06,-3.64,Yes,No,0.43,0.46,0.0,0.0,,53.6
2026-05-30,ALL,엽기떡볶이,1470,1426,0.7966,0.8107,0.2878,0.2833,1.77,-1.56,No,No,0.22,0.28,0.0,0.0,,49.2
2026-05-30,ALL,맘스터치,1405,1441,0.8093,0.8105,0.2242,0.2228,0.15,-0.62,No,No,0.43,0.43,0.0,0.0,,50.6
2026-05-30,ALL,냉면,1349,1325,0.5174,0.4679,0.1905,0.1698,-9.57,-10.87,Yes,No,1.01,1.15,0.0,0.0,,49.6
2026-05-30,BAEMIN_DELIVERY,냉면,1225,1240,0.5861,0.6073,0.1959,0.2169,3.62,10.72,No,No,4.44,4.81,0.0,0.0,,50.3
2026-05-30,ALL,피자,1238,1118,0.4305,0.4678,0.1535,0.1744,8.66,13.62,No,No,1.19,1.12,0.0,0.0,,47.5
2026-05-30,ALL,설빙,1157,1073,0.7822,0.8062,0.2368,0.246,3.07,3.89,No,No,0.31,0.29,0.0,0.0,,48.1
2026-05-30,ALL,치킨,1004,1026,0.3675,0.3314,0.0976,0.0721,-9.82,-26.13,No,Yes,1.3,1.32,0.0,0.0,,50.5
2026-05-30,BAEMIN_DELIVERY,마라탕,977,950,0.6244,0.6474,0.2569,0.24,3.68,-6.58,No,No,2.74,2.55,0.002,0.0021,5.0,49.3
2026-05-30,ALL,교촌치킨,983,905,0.7894,0.7492,0.2675,0.3017,-5.09,12.79,Yes,No,0.48,0.45,0.0,0.0,,47.9
2026-05-30,ALL,맥도날드,919,927,0.8118,0.7605,0.3025,0.2891,-6.32,-4.43,Yes,No,0.05,0.09,0.0,0.0,,50.2
2026-05-30,ALL,족발,937,902,0.5486,0.5399,0.2134,0.2129,-1.59,-0.23,No,No,1.0,0.99,0.0,0.0,,49.0
2026-05-30,BAEMIN_DELIVERY,피자,878,844,0.6116,0.6126,0.2289,0.2073,0.16,-9.44,No,No,5.44,4.48,0.0,0.0,,49.0
2026-05-30,BAEMIN_DELIVERY,치킨,821,872,0.5505,0.5482,0.1389,0.1617,-0.42,16.41,No,No,7.58,7.41,0.0012,0.0034,183.33,51.5
2026-05-30,ALL,김밥,872,803,0.4495,0.4346,0.1227,0.1258,-3.31,2.53,No,No,1.19,1.05,0.0,0.0,,47.9
