report_date,search_vertical,control_searches,treatment_searches,control_sessions,treatment_sessions,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_statistically_significant,cvr_statistically_significant,control_avg_click_rank,treatment_avg_click_rank,avg_click_rank_diff,control_zrr,treatment_zrr,zrr_pct_change,control_searches_per_session,treatment_searches_per_session,searches_per_session_pct_change,treatment_traffic_pct
2026-06-02,ALL,164214,161018,97437,97968,0.6165,0.6176,0.1486,0.1505,0.18,1.28,No,No,0.49,0.56,0.07,0.0044,3.0E-4,-93.18,1.69,1.64,-2.96,49.5
2026-06-02,BAEMIN_DELIVERY,108406,109125,51567,52661,0.6518,0.6539,0.153,0.1566,0.32,2.35,No,Yes,2.45,2.36,-0.09,0.0111,0.0018,-83.78,2.1,2.07,-1.43,50.2
