report_date,search_vertical,frequency_tier,tier_definition,control_searches,treatment_searches,control_unique_queries,treatment_unique_queries,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-02,ALL,Head,Top 50% of combined volume,114051,111859,225,225,0.6309,0.631,0.1714,0.1726,0.02,0.7,No,No,0.68,0.71,3.0E-4,0.0,-100.0,49.5
2026-06-02,ALL,Torso,Next 30% of combined volume (50-80%),68930,66898,4619,4619,0.6208,0.6208,0.1471,0.1495,0.0,1.63,No,No,0.42,0.53,0.0024,1.0E-4,-95.83,49.3
2026-06-02,ALL,Tail,Bottom 20% of combined volume (80-100%),45131,45188,31412,31626,0.5763,0.5926,0.1243,0.1307,2.83,5.15,Yes,Yes,0.22,0.37,0.0192,0.0014,-92.71,50.0
2026-06-02,BAEMIN_DELIVERY,Head,Top 50% of combined volume,73927,72770,186,186,0.6658,0.6717,0.1797,0.1845,0.89,2.67,Yes,Yes,2.68,2.65,0.0022,8.0E-4,-63.64,49.6
2026-06-02,BAEMIN_DELIVERY,Torso,Next 30% of combined volume (50-80%),45062,43367,2367,2375,0.6496,0.6655,0.1431,0.1506,2.45,5.24,Yes,Yes,2.12,2.12,0.0068,7.0E-4,-89.71,49.0
2026-06-02,BAEMIN_DELIVERY,Tail,Bottom 20% of combined volume (80-100%),27402,31379,18552,21287,0.577,0.5638,0.1192,0.1172,-2.29,-1.68,Yes,No,1.15,1.25,0.0474,0.0063,-86.71,53.4
