report_date,search_vertical,control_searches,treatment_searches,control_sessions,treatment_sessions,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_statistically_significant,cvr_statistically_significant,control_avg_click_rank,treatment_avg_click_rank,avg_click_rank_diff,control_zrr,treatment_zrr,zrr_pct_change,control_searches_per_session,treatment_searches_per_session,searches_per_session_pct_change,treatment_traffic_pct
2026-05-31,ALL,62821,61195,37000,36605,0.5849,0.5908,0.1464,0.1519,1.01,3.76,Yes,Yes,0.5,0.52,0.02,0.0034,0.0027,-20.59,1.7,1.67,-1.76,49.3
2026-05-31,BAEMIN_DELIVERY,42992,41965,20217,19934,0.6474,0.6465,0.155,0.1591,-0.14,2.65,No,No,2.44,2.48,0.04,0.0109,0.0072,-33.94,2.13,2.11,-0.94,49.4
