report_date,search_vertical,control_searches,treatment_searches,control_sessions,treatment_sessions,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_statistically_significant,cvr_statistically_significant,control_avg_click_rank,treatment_avg_click_rank,avg_click_rank_diff,control_zrr,treatment_zrr,zrr_pct_change,control_searches_per_session,treatment_searches_per_session,searches_per_session_pct_change,treatment_traffic_pct
2026-06-03,ALL,269068,263966,161379,160896,0.6127,0.6161,0.1565,0.1598,0.55,2.11,Yes,Yes,0.49,0.56,0.07,0.0045,2.0E-4,-95.56,1.67,1.64,-1.8,49.5
2026-06-03,BAEMIN_DELIVERY,177986,179487,86896,87676,0.6461,0.6488,0.1592,0.1617,0.42,1.57,No,Yes,2.42,2.35,-0.07,0.0131,0.0018,-86.26,2.05,2.05,0.0,50.2
